Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,K_Value
Logistic Regression,0.4191176470588235,0.5503115028985843,0.4191176470588235,0.4621127656745618,0.7233593020901727,
KNN,0.5845588235294118,0.5494461931929963,0.5845588235294118,0.564798856146009,0.7253593383540966,7.0
Decision Tree Classifier,0.5551470588235294,0.5357406350059712,0.5551470588235294,0.541076230416375,0.7007871412620716,
Random Forest,0.625,0.5916951561508883,0.625,0.6050710391108316,0.7802647422936695,
Neural Net,0.5808823529411765,0.5577665244531702,0.5808823529411765,0.5679219028412024,0.7496487450239009,
